Matricula,Nome,Data/Nasc,Sexo,CPF,Endereço,Telefone,Email,Serviços/Funcao
1,João Santino,1998-01-03,True,12345678910,Rua 1,23456789,email1@gmail.com,"['matemática', 'inglês']"
2,Maria Vitctoria,2000-01-04,False,12348275968,Rua 2,22222223,emailmaria@hotmail.com,['matemática']
3,Léo Sales,2001-02-10,True,12368351964,Rua 3,33333334,emailleo@hotmail.com,"['matemática', 'português']"
4,Madre Teresino,2002-01-14,False,12359371957,Rua Denório,44444449,emailmadre@hotmail.com,"['matemática', 'fisica']"
5,Thiago Ferreira,1990-08-21,True,12439573523,Rua Flincher,66666666,thiagoa@hotmail.com,['matemática']
6,Douglas Costela,1999-04-16,True,12230573910,Rua 14,72538173,costadouglas@hotmail.com,"['português', 'teologia']"
7,Snnider Scharwttiger,2008-01-11,True,10239473910,Rua das 24,13582849,desta@hotmail.com,"['fisica', 'quimica']"
12345,André Claiton,2002-02-20,True,12345678911,Avenida nascimento de castro 1640,988111773,andredamasiodemiranda@gmail.com,"['fisica', 'matematica']"
92745,Kleyton Benzerro,1998-06-10,True,12369372892,Avenida nascimento de castro 123,188211873,profkneenndey@gmail.com,"['quimica', 'portugues']"
23792,Romário Sideny,1969-06-13,True,10294800438,Av. Rui Babosa 923,988281777,profromario@gmail.com,"['religiao', 'artes']"
23470,Luciana Ximenesdes,1991-10-19,False,90298491638,Rua zenaide pereira 1994,987293614,profximendes@hotmail.com,"['banco de dados', 'redes']"
